name,description,sizeOfUnit,price
حفاضات أطفال مقاس ٣,عبوة اقتصادية,٤٦ قطعة,٤٥٢٠٠
مناديل مبللة للأطفال,خالية من العطر,٨٠ منديل,٩٨٠٠
شامبو لا دموع,للرضع من الولادة,٣٠٠مل,١٤٣٠٠
زيت أطفال طبيعي,للمساج اليومي,٢٠٠مل,١٩٦٠٠
بودرة تالك طبية,تمنع الطفح,١٠٠غ,٨١٠٠
لهاية سيليكون,مانعة للغبار,٢ قطعة,١٢٤٠٠
فرشاة شعر رضع,شعيرات ناعمة,١ قطعة,٧٥٠٠
كريم حفاض مرطب,يشفي الالتهاب,٥٠غ,١١٢٠٠
فوط صحية أمومة,فائقة الامتصاص,١٠ فوط,١٧٨٠٠
زجاجة رضاعة زجاج,٢٤٠مل,١ قطعة,٢١٩٠٠
معجون أسنان أطفال,توت طعمه حلو,٥٠مل,٦٨٠٠
مقعد سيارة أطفال,مجموعة ٠–١٣ كغ,١ قطعة,١٨٥٣٠٠
لباس قطني حديث,مقاس ٣ أشهر,٣ قطع,٢٧٦٠٠
لعبة تصفيق ناعمة,تنمي الحواس,١ قطعة,١٥٧٠٠
بطانية صوف خفيفة,للمواليد,١ قطعة,٣٤٢٠٠
بودرة تالك طبية,تمنع الطفح,١٠٠غ,٨١٠٠
لهاية سيليكون,مانعة للغبار,٢ قطعة,١٢٤٠٠
فرشاة شعر رضع,شعيرات ناعمة,١ قطعة,٧٥٠٠
كريم حفاض مرطب,يشفي الالتهاب,٥٠غ,١١٢٠٠
فوط صحية أمومة,فائقة الامتصاص,١٠ فوط,١٧٨٠٠
زجاجة رضاعة زجاج,٢٤٠مل,١ قطعة,٢١٩٠٠
معجون أسنان أطفال,توت طعمه حلو,٥٠مل,٦٨٠٠
مقعد سيارة أطفال,مجموعة ٠–١٣ كغ,١ قطعة,١٨٥٣٠٠
لباس قطني حديث,مقاس ٣ أشهر,٣ قطع,٢٧٦٠٠
