name,description,sizeOfUnit,price
خبز لبناني صاج طازج,٨ رغيفات,٨×٦٠غ,١٥٨٠٠
خبز تونسي مقطع,للسندويتشات,٤ قطع,١١٢٠٠
خبز برجر مقسم,٦ قطع,٦×٨٠غ,١٩٦٠٠
كرواسون زبدة طازج,للفطور,٦٠غ,٨٩٠٠
كعك تمر سادة,للضيافة,١٢ قطعة,٢٥٣٠٠
فطائر سبانخ صغيرة,٦ قطع,٦×٥٠غ,٢١٧٠٠
بيتزا جاهزة مارغريتا,٨ بوصة,١ قطعة,٢٩٨٠٠
خبز الشوفان الصحي,غني بالألياف,٤٠٠غ,١٧٤٠٠
خبز الذرة المكسيكي,خفيف الحبوب,٣٠٠غ,١٦١٠٠
خبز التوست الأبيض,شرائح رقيقة,٦٠٠غ,١٣٩٠٠
خبز التوست الأسمر,كامل الحبة,٦٠٠غ,١٥٢٠٠
باغيت فرنسي طازج,٦٠ سم,١ قطعة,٩٧٠٠
فطائر كريمة بالشوكولا,حجم فردي,٨٠غ,١٢٥٠٠
خبز بيتا دائري,للفلافل,٦ قطع,١٠٣٠٠
كعكة الجزر بالجوز,شرائح,٥٠٠غ,٣١٦٠٠
