name,description,sizeOfUnit,price
عصير برتقال طازج,١٠٠٪ طبيعي,١ل,١٨٩٠٠
عصير تفاح أخضر,بدون سكر مضاف,١ل,١٩٧٠٠
عصير أناناس مركز,للكوكتيل,١ل,٢١٤٠٠
ماء معدني طبيعي,من عين الزرqa,١٫٥ل,٦٨٠٠
ماء غازي منعش,بدون نكهة,٣٣٠مل,٤٩٠٠
مشروب طاقة صغير,نكهة تفاح,٢٥٠مل,١١٣٠٠
شاي أخضر سادة,أكياس هرمية,١٠٠ كيس,٢٧٦٠٠
شاي أسود بالتوت,نكهة فواكه,٢٥ كيس,١٣٩٠٠
قهوة عربية مطحونة,خفيفة الهيل,٢٠٠غ,٢٥٨٠٠
قهوة تركي سادة,مطحونة ناعمة,٢٠٠غ,٢٩٢٠٠
نسكافيه ٣×١,سريع الذوبان,٢٠٠غ,٢٣٤٠٠
كابتشينو سريع,مع رغوة,٢٥ كيس,١٨٧٠٠
كاكاو طبيعي غير محلى,للحلويات,١٠٠غ,١٥١٠٠
شراب الفراولة المركز,للميلك شيك,٧٥٠مل,٢٢٣٠٠
شراب الرمان الحامض,للكوكتيل,٧٥٠مل,٢٤٩٠٠
شاي أسود بالتوت,نكهة فواكه,٢٥ كيس,١٣٩٠٠
قهوة عربية مطحونة,خفيفة الهيل,٢٠٠غ,٢٥٨٠٠
قهوة تركي سادة,مطحونة ناعمة,٢٠٠غ,٢٩٢٠٠
نسكافيه ٣×١,سريع الذوبان,٢٠٠غ,٢٣٤٠٠
كابتشينو سريع,مع رغوة,٢٥ كيس,١٨٧٠٠
كاكاو طبيعي غير محلى,للحلويات,١٠٠غ,١٥١٠٠
شراب الفراولة المركز,للميلك شيك,٧٥٠مل,٢٢٣٠٠
شراب الرمان الحامض,للكوكتيل,٧٥٠مل,٢٤٩٠٠
