name,description,sizeOfUnit,price
حليب طازج كامل الدسم,٢٫٥٪ دهن,١ل,١٣٢٠٠
حليب طويل الأمد قليل ,عمرة ٦ أشهر,١ل,١٦٨٠٠
لبنة بلدية قليلة ملح,طرية وكريمية,٤٠٠غ,١٨٧٠٠
زبادي طبيعي بدون سكر,للدايت,٢٠٠غ,٦٩٠٠
قشطة طبخ ثقيلة,٣٥٪ دهن,٢٠٠مل,١١٤٠٠
جبن فيتا أغريقي,في ماء ملح,٢٠٠غ,٢٤٣٠٠
جبن موزاريلا مبشور,للبيتزا,٢٠٠غ,٢٧٩٠٠
جبن كريمي بالأعشاب,للساندويتش,١٠٠غ,١٣٦٠٠
حليب بودرة كامل الدسم,يذوب سريعًا,٤٠٠غ,٢٨١٠٠
لبن رايب قليل دسم,مع بكتيريا نافعة,١ل,١٧٥٠٠
كريمة خفق سائلة,٣٣٪ دهن,٢٠٠مل,١٤٢٠٠
جبن شيدر شرائح,للبرغر,١٥٠غ,٢٦٨٠٠
حليب مكثف محلى,للحلويات,٣٩٥غ,٢١٩٠٠
زبادي فواكه توت,قطع حقيقية,١٥٠غ,٩٧٠٠
كاسات لبن بالفانيليا,للأطفال,١٠٠غ,٤,١٩٣٠٠
زبادي طبيعي بدون سكر,للدايت,٢٠٠غ,٦٩٠٠
جبن فيتا أغريقي,في ماء ملح,٢٠٠غ,٢٤٣٠٠
جبن موزاريلا مبشور,للبيتزا,٢٠٠غ,٢٧٩٠٠
جبن كريمي بالأعشاب,للساندويتش,١٠٠غ,١٣٦٠٠
حليب بودرة كامل الدسم,يذوب سريعًا,٤٠٠غ,٢٨١٠٠

لبن رايب قليل دسم,مع بكتيريا نافعة,١ل,١٧٥٠٠
