| اسم المنتج            | الوصف          | حجم الوحدة | السعر (ل.س) |
| --------------------- | -------------- | ---------- | ----------- |
| جبن حلومي قلي مكعبات  | لا يذوب سريعًا | ٢٠٠غ       | ٢٩٬٤٠٠      |
| جبن كشكوان مبشور      | مالح للقلاية   | ٢٠٠غ       | ٢٤٬١٠٠      |
| جبن عكاوي مكعبات      | في ماء ملح     | ٢٠٠غ       | ٢٦٬٨٠٠      |
| لبنة قريش كريمية      | ٥٪ دهن         | ٤٠٠غ       | ١٩٬٩٠٠      |
| قشطة طازجة خفيفة      | ٢٥٪ دهن        | ٢٠٠غ       | ١٣٬٧٠٠      |
| كريمة حامضة قليلة دسم | للسلطات        | ٢٠٠مل      | ١٤٬٩٠٠      |
| زبدة بلدية مملحة      | حجرية الطراز   | ٢٠٠غ       | ٢٣٬٣٠٠      |
| زبدة غير مملحة        | للحلويات       | ٢٠٠غ       | ٢١٬٨٠٠      |
| لبن رايب طازج         | كثيف القوام    | ١ل         | ١٨٬٢٠٠      |
| كاسات لبن بالعسل      | وجبة خفيفة     | ١٠٠غ×٢     | ١٥٬٤٠٠      |
| جبن فيتا قليل ملح     | للدايت         | ٢٠٠غ       | ٢٥٬٦٠٠      |
| جبن مثلثات كريمي      | للفطور         | ١٢٠غ×٨     | ٢٨٬٩٠٠      |
| لبنة بالزيتون         | نكهة شرقية     | ٢٠٠غ       | ١٧٬٥٠٠      |
| قشطة حلويات سميكة     | للكنافة        | ٢٠٠مل      | ١٢٬٣٠٠      |
| جبن موزاريلا طازج كرة | في ماء ملح     | ١٢٥غ       | ٢٢٬٧٠٠      |
