name,description,sizeOfUnit,price
سرير أطفال قابل الطي,مع مرتبة,١ قطعة,٣٢٥٨٠٠
كرسي هزاز كهربائي,٥ سرعات,١ قطعة,٢٤٥٦٠٠
شنطة تغيير مع طاولة,مقاومة للماء,١ قطعة,٨٩٤٠٠
مونيتور صوت وفيديو,لاسلكي ٣٠٠ م,١ قطعة,١٣٨٩٠٠
حرارة حجرية كهربائية,تنظيم ذكي,١ قطعة,٥٦٧٠٠
معقم زجاجات ,يجفف أيضًا,١ قطعة,١٠٥٢٠٠
شامبو استحمام رضع,لا دموع,٥٠٠مل,١٦٨٠٠
مناديل معقمة للأمهات,١٠٠×١٠٠ مل,١٠٠ منديل,١٣٩٠٠
فوط أمومة ليلية,عبوة شهر,٣٠ فوطة,٢٩٧٠٠
حقيبة حفاضات ظهر,مقسّمة,١ قطعة,٦٧٣٠٠
بطانية نوم خفيفة,قطن عضوي,١ قطعة,٤١٨٠٠
قفازات قطنية للرضع,مانعة للخدش,٣ أزواج,٨٢٠٠
قارورة ماء ساخن سيليكون,آمنة للأطفال,١ قطعة,١٩٥٠٠
سترة رضاعة أمومة,قطنية ناعمة,١ قطعة,٣٧٩٠٠
مصباح ليلي حساس,يضيء تلقائيًا,١ قطعة,٢٤١٠٠
