name,description,sizeOfUnit,price
بالونات هيليوم أبيض,١٠ قطع,١٠ قطع,١٨٩٠٠
شريط satin ذهبي,٢٥ متر,١×٢٥م,١٣٢٠٠
ورود صناعية حمراء,للزينة الطويلة,١٠ رؤوس,٢٥٤٠٠
فوانيس LED صغيرة,تعمل بالبطارية,١٢ قطعة,٣١٧٠٠
كؤوس بلاستيك شفاف,٢٠٠ مل,٥٠ كوب,٢٢٨٠٠
أطباق ورقية ذهبية,٢٣ سم,٥٠ طبق,٢٩٩٠٠
شموع عطرة برائحة ورد,٤ ساعات حرق,٢٠ شمعة,١٩٦٠٠
حروف كرتونية MR&MRS,للتصوير,١ مجموعة,٣٧٢٠٠
مسدس شمع لاصق,مع ٥ عصي,١ قطعة,١٥٨٠٠
زهور جافة وردي,للبوكيهات,١٠٠غ,٢١٣٠٠
أكاليل ورقية بيضاء,٢ متر,١×٢م,١٧٥٠٠
صناديق هدايا صغيرة,١٠×١٠ سم,١٠ صندوق,٢٦١٠٠
شراشف طاولة ساتان,١٤٠×٢٠٠ سم,١ قطعة,٣٤٨٠٠
أضواء سلسلة نيون,٥ متر,١×٥م,٣٩٩٠٠
كيكة استحمام صابون,برائحة اللافندر,١٠٠غ,١٤٤٠٠
