name,description,sizeOfUnit,price
أرز بسمتي هندي,حبة طويلة,١كغ,٢٣٧٠٠
برغل خشن للتبولة,برغل أصفر,٩٠٠غ,١٨٩٠٠
عدس بجري أسود,بدون قشر,٥٠٠غ,١٣٨٠٠
فاصوليا بيضاء كبيرة,لليخنات,٥٠٠غ,١٦٢٠٠
حمص ناشف بلدي,للحمص والفalafel,٥٠٠غ,١٤٦٠٠
معكرونة سباغيتي رقم ٥,قمح صلب,٤٠٠غ,١١٣٠٠
معكرونة فيصليوني,للأفران,٤٠٠غ,١٢٧٠٠
شعيرية صغيرة للشوربة,سريعة التحضير,٤٠٠غ,٩٩٠٠
كوسكوس مغربي,رقيق للتبولة,٥٠٠غ,١٧٤٠٠
فريكة خضراء,مدخنة,٥٠٠غ,٢١٨٠٠
ذرة حبوب للبوشار,كرنلز كبير,٥٠٠غ,١٥١٠٠
شوفان سريع,للإفطار,٥٠٠غ,١٩٣٠٠
كينوا بيضاء,بروتين كامل,٤٠٠غ,٢٨٦٠٠
ماش بجري أخضر,للشوربة,٥٠٠غ,١٢٩٠٠
أرز أبيض مصري,حبة متوسطة,١كغ,٢٠٥٠٠
