name,description,sizeOfUnit,price
شيبسي بطاطا كلاسيك,ملح خفيف,٢٠٠غ,١٣٦٠٠
شيبسي بطاطا حار,شطة متوسطة,٢٠٠غ,١٤٢٠٠
كرنفل ذرة حلو,نكهة جبنة,١٨٠غ,١١٩٠٠
بفك بف نكهة جبن,رقائق هوائية,١٥٠غ,١٢٧٠٠
مكسرات مملحة مختلطة,فول سوداني لوز كاجو,٢٠٠غ,٣٩٨٠٠
فول سوداني محمص,بدون قشر,٢٠٠غ,١٧٣٠٠
ذرة بودرة مقرمشة,نكهة باربكيو,١٥٠غ,٩٨٠٠
بسكويت مالح بالسمسم,للضيافة,٢٠٠غ,١٤٥٠٠
خبز عربي مقطع محمص,للف,١٠٠غ,١٠٢٠٠
شيبس تورتيلا ناتشو,نكهة جبن شيدر,١٧٥غ,١٦٩٠٠
فشار ميكروويف جبنة,جاهز في ٣ دقائق,١٠٠غ,١١٤٠٠
فشار حبوب خام,للبوشار المنزلي,٥٠٠غ,١٥٦٠٠
بفك بف نكهة خليط توابل,حار حلو,١٥٠غ,١٣٣٠٠
شيبس يامس حار,شطة ليمون,٢٠٠غ,١٥١٠٠
مكسرات عين الجمل,خام بدون ملح,١٠٠غ,٣٤٧٠٠
