name,description,sizeOfUnit,price
كزبرة ناشفة,ناعمة، عبقرة للطبخ,٢٠٠غ,٨٥٠٠
كمون صحارى,نكهة ترابية قوية,١٠٠غ,٦٢٠٠
شمرة حلوة,للشوربة والمخللات,١٠٠غ,٥٨٠٠
ينسون خفيف,للطفل والشاي,٥٠غ,٣٩٠٠
بهار كبسة,خلطة جاهزة ساخنة,٢٠٠غ,٩٢٠٠
كزبرة حب,للبزورية والسلطات,١٠٠غ,٤١٠٠
شطة مجروشة,حرارة معتدلة,١٠٠غ,٥٣٠٠
كراوية مقشورة,للمعدة والحليب,٥٠غ,٤٦٠٠
فلفل أسود كامل,للطواحين,١٠٠غ,٧٨٠٠
قرفة عيدان,سيلانية الطراز,١٠٠غ,٨٩٠٠
قرنفل حب,للقهوة والحلو,٥٠غ,١٠٤٠٠
هيل صحارى,للقهوة العربية,٥٠غ,١١٢٠٠
زعتر أخضر,للمناقيش,١٠٠غ,٦٧٠٠
سماق حامض,للفattoush,١٠٠غ,٥٩٠٠
كركم صافي,للأرز والكاري,١٠٠غ,٦٨٠٠
